,MAE,MSE,RMSE,R2,NSE
BNV4-U11,0.017629672951953182,0.030969448279616108,0.17598138617369766,-27.312293554803585,-27.312293554798973
BNV8-U19,0.18296444186433458,8.41342319925748,2.9005901467214357,-13.02862524382958,-13.02862524382761
MAL1-C11,0.028764927986976527,0.09193122335822966,0.30320162162862796,-16.5527453960692,-16.552745396061056
MOL5-U17,0.15140805129465465,0.7056124896725922,0.8400074342960259,-0.2712234875678543,-0.2712234875680217
WOL4-C01,0.031162852353761747,0.07552113393019949,0.274811087713359,-1.9743671300374146,-1.9743671300368444
WOL5-U05,0.16800683618159404,0.8463340788294943,0.9199641725792882,0.3031184158244802,0.30311841582428856
