,Pearson Correlation,Pearson P-Value
BNV4-U11,0.5857412728788407,0.0
BNV8-U19,0.13033934665982583,2.9674294432936248e-83
MAL1-C11,0.7662176808205298,0.0
MOL5-U17,0.43873432543140767,0.0
WOL4-C01,0.6829496274921792,0.0
WOL5-U05,0.5738337975960329,0.0
