"date/time (SER UTC+1,00)",Debit[l/s]
5.3.2015 17:40:00,81
5.3.2015 17:45:00,82
5.3.2015 17:50:00,83
5.3.2015 17:55:00,82
5.3.2015 18:00:00,83
5.3.2015 18:05:00,85
5.3.2015 18:10:00,91
5.3.2015 18:15:00,92
5.3.2015 18:20:00,91
5.3.2015 18:25:00,88
5.3.2015 18:30:00,85
5.3.2015 18:35:00,88
5.3.2015 18:40:00,86
5.3.2015 18:45:00,89
5.3.2015 18:50:00,88
5.3.2015 18:55:00,96
5.3.2015 19:00:00,96
5.3.2015 19:05:00,100
5.3.2015 19:10:00,94
5.3.2015 19:15:00,98
5.3.2015 19:20:00,100
5.3.2015 19:25:00,105
5.3.2015 19:30:00,104
5.3.2015 19:35:00,103
5.3.2015 19:40:00,104
5.3.2015 19:45:00,103
5.3.2015 19:50:00,101
5.3.2015 19:55:00,98
5.3.2015 20:00:00,97
5.3.2015 20:05:00,98
5.3.2015 20:10:00,98
5.3.2015 20:15:00,96
5.3.2015 20:20:00,99
5.3.2015 20:25:00,95
5.3.2015 20:30:00,99
5.3.2015 20:35:00,103
5.3.2015 20:40:00,99
5.3.2015 20:45:00,97
5.3.2015 20:50:00,100
5.3.2015 20:55:00,103
5.3.2015 21:00:00,100
5.3.2015 21:05:00,102
5.3.2015 21:10:00,102
5.3.2015 21:15:00,97
5.3.2015 21:20:00,99
5.3.2015 21:25:00,95
5.3.2015 21:30:00,93
5.3.2015 21:35:00,93
5.3.2015 21:40:00,91
5.3.2015 21:45:00,91
5.3.2015 21:50:00,89
5.3.2015 21:55:00,88
5.3.2015 22:00:00,88
5.3.2015 22:05:00,86
5.3.2015 22:10:00,91
5.3.2015 22:15:00,91
5.3.2015 22:20:00,87
5.3.2015 22:25:00,89
5.3.2015 22:30:00,83
5.3.2015 22:35:00,82
5.3.2015 22:40:00,82
5.3.2015 22:45:00,82
5.3.2015 22:50:00,83
5.3.2015 22:55:00,82
5.3.2015 23:00:00,80
5.3.2015 23:05:00,82
5.3.2015 23:10:00,80
5.3.2015 23:15:00,77
5.3.2015 23:20:00,77
5.3.2015 23:25:00,73
5.3.2015 23:30:00,71
5.3.2015 23:35:00,75
5.3.2015 23:40:00,78
5.3.2015 23:45:00,74
5.3.2015 23:50:00,74
5.3.2015 23:55:00,72
6.3.2015 00:00:00,71
6.3.2015 00:05:00,71
6.3.2015 00:10:00,67
6.3.2015 00:15:00,66
6.3.2015 00:20:00,65
6.3.2015 00:25:00,64
6.3.2015 00:30:00,63
6.3.2015 00:35:00,62
6.3.2015 00:40:00,63
6.3.2015 00:45:00,61
6.3.2015 00:50:00,61
6.3.2015 00:55:00,59
6.3.2015 01:00:00,58
6.3.2015 01:05:00,55
6.3.2015 01:10:00,55
6.3.2015 01:15:00,54
6.3.2015 01:20:00,54
6.3.2015 01:25:00,54
6.3.2015 01:30:00,53
6.3.2015 01:35:00,52
6.3.2015 01:40:00,52
6.3.2015 01:45:00,52
6.3.2015 01:50:00,51
6.3.2015 01:55:00,51
6.3.2015 02:00:00,50
6.3.2015 02:05:00,50
6.3.2015 02:10:00,47
6.3.2015 02:15:00,49
6.3.2015 02:20:00,48
6.3.2015 02:25:00,47
6.3.2015 02:30:00,49
6.3.2015 02:35:00,46
6.3.2015 02:40:00,47
6.3.2015 02:45:00,49
6.3.2015 02:50:00,49
6.3.2015 02:55:00,48
6.3.2015 03:00:00,48
6.3.2015 03:05:00,48
6.3.2015 03:10:00,45
6.3.2015 03:15:00,46
6.3.2015 03:20:00,47
6.3.2015 03:25:00,45
6.3.2015 03:30:00,44
6.3.2015 03:35:00,44
6.3.2015 03:40:00,48
6.3.2015 03:45:00,48
6.3.2015 03:50:00,45
6.3.2015 03:55:00,45
6.3.2015 04:00:00,46
6.3.2015 04:05:00,45
6.3.2015 04:10:00,43
6.3.2015 04:15:00,44
6.3.2015 04:20:00,40
6.3.2015 04:25:00,40
6.3.2015 04:30:00,40
6.3.2015 04:35:00,38
6.3.2015 04:40:00,38
6.3.2015 04:45:00,42
6.3.2015 04:50:00,42
6.3.2015 04:55:00,38
6.3.2015 05:00:00,41
6.3.2015 05:05:00,40
6.3.2015 05:10:00,39
6.3.2015 05:15:00,38
6.3.2015 05:20:00,35
6.3.2015 05:25:00,37
6.3.2015 05:30:00,37
6.3.2015 05:35:00,35
6.3.2015 05:40:00,39
6.3.2015 05:45:00,37
6.3.2015 05:50:00,39
6.3.2015 05:55:00,38
6.3.2015 06:00:00,38
6.3.2015 06:05:00,40
6.3.2015 06:10:00,40
6.3.2015 06:15:00,41
6.3.2015 06:20:00,44
6.3.2015 06:25:00,42
6.3.2015 06:30:00,46
6.3.2015 06:35:00,47
6.3.2015 06:40:00,51
6.3.2015 06:45:00,53
6.3.2015 06:50:00,55
6.3.2015 06:55:00,58
6.3.2015 07:00:00,60
6.3.2015 07:05:00,65
6.3.2015 07:10:00,67
6.3.2015 07:15:00,79
6.3.2015 07:20:00,87
6.3.2015 07:25:00,87
6.3.2015 07:30:00,98
6.3.2015 07:35:00,102
6.3.2015 07:40:00,111
6.3.2015 07:45:00,126
6.3.2015 07:50:00,133
6.3.2015 07:55:00,137
6.3.2015 08:00:00,137
6.3.2015 08:05:00,146
6.3.2015 08:10:00,140
6.3.2015 08:15:00,143
6.3.2015 08:20:00,138
6.3.2015 08:25:00,136
6.3.2015 08:30:00,133
6.3.2015 08:35:00,132
6.3.2015 08:40:00,137
6.3.2015 08:45:00,138
6.3.2015 08:50:00,134
6.3.2015 08:55:00,125
6.3.2015 09:00:00,124
6.3.2015 09:05:00,126
6.3.2015 09:10:00,124
6.3.2015 09:15:00,119
6.3.2015 09:20:00,123
6.3.2015 09:25:00,120
6.3.2015 09:30:00,123
6.3.2015 09:35:00,117
6.3.2015 09:40:00,115
6.3.2015 09:45:00,118
6.3.2015 09:50:00,117
6.3.2015 09:55:00,115
6.3.2015 10:00:00,113
6.3.2015 10:05:00,109
6.3.2015 10:10:00,113
6.3.2015 10:15:00,113
6.3.2015 10:20:00,111
6.3.2015 10:25:00,109
6.3.2015 10:30:00,111
6.3.2015 10:35:00,114
6.3.2015 10:40:00,115
6.3.2015 10:45:00,113
6.3.2015 10:50:00,110
6.3.2015 10:55:00,111
6.3.2015 11:00:00,112
6.3.2015 11:05:00,113
6.3.2015 11:10:00,109
6.3.2015 11:15:00,105
6.3.2015 11:20:00,107
6.3.2015 11:25:00,111
6.3.2015 11:30:00,107
6.3.2015 11:35:00,108
6.3.2015 11:40:00,107
6.3.2015 11:45:00,103
6.3.2015 11:50:00,103
6.3.2015 11:55:00,103
6.3.2015 12:00:00,103
6.3.2015 12:05:00,103
6.3.2015 12:10:00,102
6.3.2015 12:15:00,99
6.3.2015 12:20:00,99
6.3.2015 12:25:00,103
6.3.2015 12:30:00,102
6.3.2015 12:35:00,98
6.3.2015 12:40:00,96
6.3.2015 12:45:00,94
6.3.2015 12:50:00,90
6.3.2015 12:55:00,94
6.3.2015 13:00:00,89
6.3.2015 13:05:00,90
6.3.2015 13:10:00,90
6.3.2015 13:15:00,88
6.3.2015 13:20:00,91
6.3.2015 13:25:00,91
6.3.2015 13:30:00,90
6.3.2015 13:35:00,90
6.3.2015 13:40:00,88
6.3.2015 13:45:00,87
6.3.2015 13:50:00,88
6.3.2015 13:55:00,85
6.3.2015 14:00:00,89
6.3.2015 14:05:00,88
6.3.2015 14:15:00,87
6.3.2015 14:20:00,85
6.3.2015 14:25:00,84
6.3.2015 14:30:00,86
6.3.2015 14:35:00,83
6.3.2015 14:40:00,85
6.3.2015 14:45:00,82
