Basin,Model Bias,Model Confidence,NSE,NSE High Flow,RMSE
WOL4-C01,0.08985322362130459,0.11898152665768406,-1.9743671300374144,-3.7644892689846943,0.274811087713359
MOL5-U17,-0.5013255341202493,-0.14995235982545288,-0.2712234875678543,0.22803949358843623,0.8400074342960259
WOL5-U05,-0.695712625640091,-0.11445066272222436,0.3031184158244802,0.41282143951578565,0.9199641725792882
MAL1-C11,1.7497859807318403,4.23169353232831,-16.5527453960692,-31.927301093384614,0.30320162162862796
BNV8-U19,-0.5702463269649599,-0.17655783709068465,-13.02862524382958,-3.054527204413767,2.9005901467214357
BNV4-U11,1.6936157872123914,10.250909573673274,-27.312293554803585,-36.478476723729436,0.17598138617369766
