date,U17,Baseflow,U17_without_baseflow,MOL5
2016-01-01 00:00:00,145.0,182.83333333333334,0.0,0.0007741294166666666
2016-01-01 01:00:00,143.16666666666666,164.91666666666666,0.00016666666666666666,0.25444289325
2016-01-01 02:00:00,184.08333333333334,152.25,0.03183333333333333,0.0095325225
2016-01-01 03:00:00,170.83333333333334,140.16666666666666,0.030666666666666665,0.0
2016-01-01 04:00:00,144.83333333333334,137.25,0.007833333333333333,0.0
2016-01-01 05:00:00,127.75,136.41666666666666,0.00016666666666666666,0.0
2016-01-01 06:00:00,116.33333333333333,152.33333333333334,0.0,0.0
2016-01-01 07:00:00,112.58333333333333,204.91666666666666,0.0,0.0
2016-01-01 08:00:00,114.41666666666667,257.5,0.0,0.0
2016-01-01 09:00:00,129.58333333333334,260.5,0.0,0.0
2016-01-01 10:00:00,156.91666666666666,281.25,0.0,0.0
2016-01-01 11:00:00,202.08333333333334,307.6666666666667,0.0,0.0
2016-01-01 12:00:00,238.08333333333334,307.4166666666667,0.0,0.0
2016-01-01 13:00:00,257.5,293.9166666666667,0.0,0.0
2016-01-01 14:00:00,244.41666666666666,279.5,0.0,0.0
2016-01-01 15:00:00,224.0,260.3333333333333,0.0,0.0
2016-01-01 16:00:00,213.5,251.5,0.0,0.0
2016-01-01 17:00:00,203.58333333333334,244.58333333333334,0.0,0.0
2016-01-01 18:00:00,200.91666666666666,247.41666666666666,0.0,0.0
2016-01-01 19:00:00,195.08333333333334,261.5833333333333,0.0,0.0
2016-01-01 20:00:00,188.41666666666666,272.0833333333333,0.0,0.0
2016-01-01 21:00:00,179.0,261.5,0.0,0.0
2016-01-01 22:00:00,165.5,227.08333333333334,0.0,0.0
2016-01-01 23:00:00,157.08333333333334,202.25,0.0,0.0
2016-01-02 00:00:00,138.5,182.83333333333334,0.0,0.0
2016-01-02 01:00:00,129.25,164.91666666666666,0.0,0.0
2016-01-02 02:00:00,112.0,152.25,0.0,0.0
2016-01-02 03:00:00,105.91666666666667,140.16666666666666,0.0,0.23985952008333333
2016-01-02 04:00:00,207.66666666666666,137.25,0.07875,0.48573952008333326
2016-01-02 05:00:00,632.1666666666666,136.41666666666666,0.49574999999999997,0.4657125651666667
2016-01-02 06:00:00,862.8333333333334,152.33333333333334,0.7105,0.3222398865
2016-01-02 07:00:00,976.0,204.91666666666666,0.7710833333333333,0.4528569219166667
2016-01-02 08:00:00,881.6666666666666,257.5,0.6241666666666666,0.09111716075
2016-01-02 09:00:00,502.0833333333333,260.5,0.24158333333333334,0.0
2016-01-02 10:00:00,336.6666666666667,281.25,0.05541666666666667,0.0
2016-01-02 11:00:00,321.25,307.6666666666667,0.01475,0.0
2016-01-02 12:00:00,309.25,307.4166666666667,0.005833333333333333,0.0
2016-01-02 13:00:00,297.4166666666667,293.9166666666667,0.0055000000000000005,0.0
2016-01-02 14:00:00,266.1666666666667,279.5,0.0,0.0
2016-01-02 15:00:00,249.08333333333334,260.3333333333333,0.0,0.0
2016-01-02 16:00:00,224.16666666666666,251.5,0.0,0.0
2016-01-02 17:00:00,210.75,244.58333333333334,0.0,0.0
2016-01-02 18:00:00,205.16666666666666,247.41666666666666,0.0,0.0
2016-01-02 19:00:00,204.91666666666666,261.5833333333333,0.0,0.3502235873333333
2016-01-02 20:00:00,1172.5,272.0833333333333,0.9225833333333334,2.1668349861666667
2016-01-02 21:00:00,7111.833333333333,261.5,6.850333333333334,2.144605080583333
2016-01-02 22:00:00,2815.6666666666665,227.08333333333334,2.5885833333333332,0.39708456833333333
2016-01-02 23:00:00,1593.5833333333333,202.25,1.3913333333333335,0.09112703683333333
2016-01-03 00:00:00,801.5833333333334,182.83333333333334,0.61875,0.0
2016-01-03 01:00:00,416.3333333333333,164.91666666666666,0.2514166666666667,0.07531710683333333
2016-01-03 02:00:00,426.75,152.25,0.2745,0.12324505208333332
2016-01-03 03:00:00,377.0,140.16666666666666,0.23683333333333334,0.0
2016-01-03 04:00:00,263.3333333333333,137.25,0.12608333333333333,0.0
2016-01-03 05:00:00,224.58333333333334,136.41666666666666,0.08816666666666667,0.0
2016-01-03 06:00:00,202.33333333333334,152.33333333333334,0.049999999999999996,0.0
2016-01-03 07:00:00,192.25,204.91666666666666,0.005833333333333334,0.0
2016-01-03 08:00:00,196.83333333333334,257.5,0.0,0.0
2016-01-03 09:00:00,213.41666666666666,260.5,0.0,0.0
2016-01-03 10:00:00,258.9166666666667,281.25,0.0,0.0
2016-01-03 11:00:00,292.4166666666667,307.6666666666667,0.0,0.0
2016-01-03 12:00:00,309.9166666666667,307.4166666666667,0.005333333333333333,0.0
2016-01-03 13:00:00,310.0,293.9166666666667,0.016333333333333335,0.0
2016-01-03 14:00:00,298.0833333333333,279.5,0.019,0.0
2016-01-03 15:00:00,284.9166666666667,260.3333333333333,0.024583333333333332,0.0
2016-01-03 16:00:00,270.4166666666667,251.5,0.01891666666666667,0.07532698291666667
2016-01-03 17:00:00,275.5833333333333,244.58333333333334,0.031,0.32010925525
2016-01-03 18:00:00,973.0833333333334,247.41666666666666,0.7256666666666667,0.8189985691666667
2016-01-03 19:00:00,2898.8333333333335,261.5833333333333,2.63725,1.3744510715833334
2016-01-03 20:00:00,4614.166666666667,272.0833333333333,4.342083333333333,1.5354159694166667
2016-01-03 21:00:00,4317.666666666667,261.5,4.056166666666667,1.8693206423333333
2016-01-03 22:00:00,4525.333333333333,227.08333333333334,4.29825,1.148151485
2016-01-03 23:00:00,2764.75,202.25,2.5625,0.5361668341666667
