date,U19,Baseflow,U19_without_baseflow,BNV8
2016-01-01 00:00:00,291.5833333333333,366.5833333333333,0.0,0.10519454633333332
2016-01-01 01:00:00,304.25,340.0833333333333,0.00375,0.17752433583333335
2016-01-01 02:00:00,395.8333333333333,314.4166666666667,0.08141666666666666,0.05572020341666667
2016-01-01 03:00:00,364.0,289.9166666666667,0.07408333333333333,1.5561166666666666e-05
2016-01-01 04:00:00,268.5833333333333,306.5833333333333,0.0026666666666666666,0.0
2016-01-01 05:00:00,231.16666666666666,284.8333333333333,0.0,0.0
2016-01-01 06:00:00,212.08333333333334,325.5833333333333,0.0,0.0
2016-01-01 07:00:00,214.0,384.6666666666667,0.0,0.0
2016-01-01 08:00:00,216.16666666666666,502.9166666666667,0.0,0.0
2016-01-01 09:00:00,266.0,504.1666666666667,0.0,0.0
2016-01-01 10:00:00,309.5,525.25,0.0,0.0
2016-01-01 11:00:00,378.5833333333333,535.9166666666666,0.0,0.0
2016-01-01 12:00:00,444.9166666666667,563.0,0.0,0.0
2016-01-01 13:00:00,474.75,579.4166666666666,0.0,0.0
2016-01-01 14:00:00,458.1666666666667,536.6666666666666,0.0,0.0
2016-01-01 15:00:00,461.5833333333333,522.0,0.0,0.0
2016-01-01 16:00:00,409.9166666666667,491.8333333333333,0.0,0.0
2016-01-01 17:00:00,403.0833333333333,516.1666666666666,0.0,0.0
2016-01-01 18:00:00,381.0833333333333,494.8333333333333,0.0,0.0
2016-01-01 19:00:00,371.8333333333333,560.5833333333334,0.0,0.0
2016-01-01 20:00:00,357.0833333333333,536.5,0.0,0.0
2016-01-01 21:00:00,351.3333333333333,534.0833333333334,0.0,0.0
2016-01-01 22:00:00,355.75,485.1666666666667,0.0,0.0
2016-01-01 23:00:00,313.9166666666667,430.75,0.0,0.0
2016-01-02 00:00:00,302.5833333333333,366.5833333333333,0.0,0.0
2016-01-02 01:00:00,269.1666666666667,340.0833333333333,0.0,0.01852663325
2016-01-02 02:00:00,249.58333333333334,314.4166666666667,0.0,0.03720913133333333
2016-01-02 03:00:00,222.75,289.9166666666667,0.0,0.22714970925
2016-01-02 04:00:00,385.3333333333333,306.5833333333333,0.09191666666666666,0.40018412425
2016-01-02 05:00:00,749.25,284.8333333333333,0.4644166666666667,0.39349102066666664
2016-01-02 06:00:00,879.4166666666666,325.5833333333333,0.5538333333333334,0.27535371583333335
2016-01-02 07:00:00,1012.4166666666666,384.6666666666667,0.62775,0.36237477199999996
2016-01-02 08:00:00,821.5833333333334,502.9166666666667,0.31866666666666665,0.013519596166666667
2016-01-02 09:00:00,570.0,504.1666666666667,0.06608333333333333,0.0
2016-01-02 10:00:00,504.3333333333333,525.25,0.010166666666666668,0.0
2016-01-02 11:00:00,480.4166666666667,535.9166666666666,0.0,0.0
2016-01-02 12:00:00,504.1666666666667,563.0,0.0,0.0
2016-01-02 13:00:00,503.0,579.4166666666666,0.0,0.0
2016-01-02 14:00:00,479.8333333333333,536.6666666666666,0.0,0.0
2016-01-02 15:00:00,448.3333333333333,522.0,0.0,0.0
2016-01-02 16:00:00,424.9166666666667,491.8333333333333,0.0,0.0
2016-01-02 17:00:00,397.5833333333333,516.1666666666666,0.0,0.0
2016-01-02 18:00:00,385.0833333333333,494.8333333333333,0.0,0.0
2016-01-02 19:00:00,391.5833333333333,560.5833333333334,0.0,0.20847792033333334
2016-01-02 20:00:00,1315.5833333333333,536.5,0.8497499999999999,1.9223462635
2016-01-02 21:00:00,6576.583333333333,534.0833333333334,6.0425,1.6625610636666668
2016-01-02 22:00:00,3028.3333333333335,485.1666666666667,2.5431666666666666,0.25274783691666663
2016-01-02 23:00:00,2130.25,430.75,1.6994999999999998,0.11131081225
2016-01-03 00:00:00,872.8333333333334,366.5833333333333,0.50625,0.0
2016-01-03 01:00:00,560.9166666666666,340.0833333333333,0.22083333333333333,0.111455968
2016-01-03 02:00:00,478.1666666666667,314.4166666666667,0.16374999999999998,0.055751325750000004
2016-01-03 03:00:00,448.3333333333333,289.9166666666667,0.15841666666666668,0.0
2016-01-03 04:00:00,378.8333333333333,306.5833333333333,0.07225,0.0
2016-01-03 05:00:00,313.0,284.8333333333333,0.02816666666666667,0.0
2016-01-03 06:00:00,293.9166666666667,325.5833333333333,0.00175,0.0
2016-01-03 07:00:00,294.25,384.6666666666667,0.0,0.0
2016-01-03 08:00:00,373.0,502.9166666666667,0.0,0.0
2016-01-03 09:00:00,357.9166666666667,504.1666666666667,0.0,0.0
2016-01-03 10:00:00,403.25,525.25,0.0,0.0
2016-01-03 11:00:00,461.9166666666667,535.9166666666666,0.0,0.0
2016-01-03 12:00:00,503.6666666666667,563.0,0.0,0.0
2016-01-03 13:00:00,513.0833333333334,579.4166666666666,0.0,0.0
2016-01-03 14:00:00,536.5833333333334,536.6666666666666,0.012166666666666666,0.0
2016-01-03 15:00:00,489.5833333333333,522.0,0.0,0.0
2016-01-03 16:00:00,472.25,491.8333333333333,0.00025,0.05130439841666667
2016-01-03 17:00:00,526.25,516.1666666666666,0.03691666666666667,0.32104014733333336
2016-01-03 18:00:00,1280.25,494.8333333333333,0.7854166666666668,0.6487785012499999
2016-01-03 19:00:00,3138.4166666666665,560.5833333333334,2.5778333333333334,1.1717739017500002
2016-01-03 20:00:00,4844.666666666667,536.5,4.308166666666667,1.0084453121666666
2016-01-03 21:00:00,4871.0,534.0833333333334,4.336916666666666,1.3078796255
2016-01-03 22:00:00,4870.916666666667,485.1666666666667,4.38575,0.37110019875
2016-01-03 23:00:00,3515.9166666666665,430.75,3.0851666666666664,0.37051746
