date,U05,Baseflow,U05_without_baseflow,WOL5
2016-01-01 00:00:00,612.3333333333334,696.25,0.0,0.0
2016-01-01 01:00:00,1134.25,610.5833333333334,0.5410833333333334,0.933973678
2016-01-01 02:00:00,2984.1666666666665,536.8333333333334,2.4473333333333334,0.05129729583333333
2016-01-01 03:00:00,1145.6666666666667,522.5833333333334,0.6230833333333333,0.0
2016-01-01 04:00:00,721.75,507.6666666666667,0.21408333333333332,0.0
2016-01-01 05:00:00,606.75,493.6666666666667,0.11308333333333333,0.0
2016-01-01 06:00:00,559.4166666666666,504.25,0.05516666666666667,0.0
2016-01-01 07:00:00,532.25,699.6666666666666,0.0,0.0
2016-01-01 08:00:00,542.4166666666666,953.1666666666666,0.0,0.0
2016-01-01 09:00:00,594.25,936.8333333333334,0.0,0.0
2016-01-01 10:00:00,681.25,910.0,0.0,0.0
2016-01-01 11:00:00,796.25,926.0,0.0,0.0
2016-01-01 12:00:00,857.0,924.3333333333334,0.0,0.0
2016-01-01 13:00:00,863.4166666666666,896.3333333333334,0.0003333333333333333,0.0
2016-01-01 14:00:00,833.4166666666666,852.0,0.0016666666666666668,0.0
2016-01-01 15:00:00,790.0,844.3333333333334,0.0,0.0
2016-01-01 16:00:00,764.1666666666666,821.0833333333334,0.0,0.0
2016-01-01 17:00:00,733.1666666666666,794.25,0.0,0.0
2016-01-01 18:00:00,722.1666666666666,785.0833333333334,0.0,0.0
2016-01-01 19:00:00,724.5833333333334,823.6666666666666,0.0,0.0
2016-01-01 20:00:00,722.5833333333334,848.0,0.0,0.0
2016-01-01 21:00:00,710.4166666666666,823.8333333333334,0.0,0.0
2016-01-01 22:00:00,673.9166666666666,802.1666666666666,0.0,0.0
2016-01-01 23:00:00,654.6666666666666,774.0833333333334,0.0,0.0
2016-01-02 00:00:00,627.6666666666666,696.25,0.0,0.0
2016-01-02 01:00:00,587.25,610.5833333333334,0.00025,0.0
2016-01-02 02:00:00,546.6666666666666,536.8333333333334,0.011250000000000001,0.0
2016-01-02 03:00:00,517.3333333333334,522.5833333333334,0.0028333333333333335,0.04074968108333333
2016-01-02 04:00:00,509.5833333333333,507.6666666666667,0.0085,0.12202679083333333
2016-01-02 05:00:00,611.25,493.6666666666667,0.11758333333333333,0.2216717095
2016-01-02 06:00:00,1012.1666666666666,504.25,0.5079166666666667,0.21187755466666666
2016-01-02 07:00:00,1207.4166666666667,699.6666666666666,0.50775,0.22234136133333335
2016-01-02 08:00:00,1224.4166666666667,953.1666666666666,0.27125,0.05272763241666666
2016-01-02 09:00:00,1019.6666666666666,936.8333333333334,0.08283333333333333,0.0
2016-01-02 10:00:00,916.4166666666666,910.0,0.01375,0.0
2016-01-02 11:00:00,913.0833333333334,926.0,0.0026666666666666666,0.0
2016-01-02 12:00:00,910.25,924.3333333333334,0.0018333333333333333,0.0
2016-01-02 13:00:00,875.1666666666666,896.3333333333334,0.0003333333333333333,0.0
2016-01-02 14:00:00,856.25,852.0,0.007916666666666667,0.0
2016-01-02 15:00:00,812.5833333333334,844.3333333333334,0.0,0.0
2016-01-02 16:00:00,763.0,821.0833333333334,0.0,0.0
2016-01-02 17:00:00,731.3333333333334,794.25,0.0,0.0
2016-01-02 18:00:00,727.0833333333334,785.0833333333334,0.0,0.0
2016-01-02 19:00:00,755.0833333333334,823.6666666666666,0.0,0.05125851358333333
2016-01-02 20:00:00,974.9166666666666,848.0,0.18708333333333335,1.1687710395833333
2016-01-02 21:00:00,12355.666666666666,823.8333333333334,11.531833333333333,2.6020742655
2016-01-02 22:00:00,5222.333333333333,802.1666666666666,4.420166666666667,0.24735217691666667
2016-01-02 23:00:00,2295.75,774.0833333333334,1.5216666666666667,0.10247824491666667
2016-01-03 00:00:00,1301.0,696.25,0.60475,0.05129729583333333
2016-01-03 01:00:00,947.4166666666666,610.5833333333334,0.3368333333333333,0.2736357185833333
2016-01-03 02:00:00,1918.9166666666667,536.8333333333334,1.3820833333333333,0.3095458081666667
2016-01-03 03:00:00,1659.9166666666667,522.5833333333334,1.1373333333333333,0.0
2016-01-03 04:00:00,839.9166666666666,507.6666666666667,0.33225,0.0
2016-01-03 05:00:00,661.9166666666666,493.6666666666667,0.16825,0.0
2016-01-03 06:00:00,585.0,504.25,0.08075,0.0
2016-01-03 07:00:00,555.5,699.6666666666666,0.0,0.05125851358333333
2016-01-03 08:00:00,592.4166666666666,953.1666666666666,0.0,0.0
2016-01-03 09:00:00,692.9166666666666,936.8333333333334,0.0,0.0
2016-01-03 10:00:00,825.0,910.0,0.0,0.0
2016-01-03 11:00:00,902.5,926.0,0.0018333333333333333,0.0
2016-01-03 12:00:00,934.1666666666666,924.3333333333334,0.015583333333333333,0.0
2016-01-03 13:00:00,899.5,896.3333333333334,0.008583333333333333,0.0
2016-01-03 14:00:00,850.6666666666666,852.0,0.0065,0.0
2016-01-03 15:00:00,823.75,844.3333333333334,0.0003333333333333333,0.0
2016-01-03 16:00:00,800.3333333333334,821.0833333333334,0.0006666666666666666,0.12815561391666666
2016-01-03 17:00:00,928.5833333333334,794.25,0.13433333333333333,0.35730169325
2016-01-03 18:00:00,2552.5,785.0833333333334,1.7674166666666666,0.7831922800833334
2016-01-03 19:00:00,6168.416666666667,823.6666666666666,5.34475,1.2570301375833333
2016-01-03 20:00:00,9340.75,848.0,8.49275,1.3829189105833333
2016-01-03 21:00:00,9077.5,823.8333333333334,8.253666666666666,1.807925165333333
2016-01-03 22:00:00,9846.0,802.1666666666666,9.043833333333334,1.0065527345
