date,C11,Baseflow,C11_without_baseflow,MAL1
2016-01-01 00:00:00,23.837433333333333,28.838033333333332,0.0,0.009244694083333333
2016-01-01 01:00:00,131.79025000000001,23.198683333333335,0.10865681666666667,0.46441279333333335
2016-01-01 02:00:00,60.46351666666666,17.435266666666667,0.04302825,0.00058392025
2016-01-01 03:00:00,27.770366666666664,17.131466666666665,0.0106389,0.0
2016-01-01 04:00:00,20.954533333333334,13.514283333333333,0.00744025,0.0
2016-01-01 05:00:00,17.6778,12.738383333333333,0.004939416666666667,0.0
2016-01-01 06:00:00,15.696916666666667,34.621316666666665,0.0008519,0.0
2016-01-01 07:00:00,16.078666666666667,101.91805,0.0,0.0
2016-01-01 08:00:00,17.5769,125.35083333333334,0.0,0.0
2016-01-01 09:00:00,22.901533333333333,68.22551666666666,0.0,0.0
2016-01-01 10:00:00,32.19501666666667,61.48533333333333,0.0,0.0
2016-01-01 11:00:00,38.916466666666665,61.543083333333335,0.0,0.0
2016-01-01 12:00:00,43.4658,57.85986666666667,0.0,0.0
2016-01-01 13:00:00,43.085633333333334,53.08553333333333,0.0,0.0
2016-01-01 14:00:00,41.402049999999996,49.89818333333333,0.0,0.0
2016-01-01 15:00:00,38.210366666666665,45.34376666666666,0.0,0.0
2016-01-01 16:00:00,34.3715,42.38441666666667,0.0,0.0
2016-01-01 17:00:00,33.7794,40.65371666666667,0.0,0.0
2016-01-01 18:00:00,33.835925,44.972199999999994,0.0,0.0
2016-01-01 19:00:00,33.98515,51.01383333333334,0.0,0.0
2016-01-01 20:00:00,33.093016666666664,50.63816666666667,0.0,0.0
2016-01-01 21:00:00,30.405729166666664,46.22135,0.0,0.0
2016-01-01 22:00:00,27.930566666666667,45.4997,0.0,0.0
2016-01-01 23:00:00,27.567400000000003,39.14468333333333,0.0,0.0
2016-01-02 00:00:00,24.11831666666667,28.838033333333332,0.0,0.0
2016-01-02 01:00:00,20.330683333333333,23.198683333333335,0.0,0.0
2016-01-02 02:00:00,16.675933333333333,17.435266666666667,1.069999999999993e-05,0.0
2016-01-02 03:00:00,14.377249999999998,17.131466666666665,9.58333333333335e-06,0.07268614933333332
2016-01-02 04:00:00,18.849954166666667,13.514283333333333,0.005335670833333334,0.11906715125
2016-01-02 05:00:00,58.101949999999995,12.738383333333333,0.04536356666666667,0.18540982575
2016-01-02 06:00:00,67.37904999999999,34.621316666666665,0.03275773333333334,0.162586604
2016-01-02 07:00:00,101.80554583333333,101.91805,0.015033166666666665,0.18500272266666665
2016-01-02 08:00:00,62.83943333333334,125.35083333333334,0.0,0.04744759341666666
2016-01-02 09:00:00,47.75845,68.22551666666666,0.0,0.0
2016-01-02 10:00:00,49.363016666666674,61.48533333333333,0.0,0.0
2016-01-02 11:00:00,52.98643333333333,61.543083333333335,0.0,0.0
2016-01-02 12:00:00,53.2151,57.85986666666667,0.0,0.0
2016-01-02 13:00:00,48.89416666666667,53.08553333333333,0.0,0.0
2016-01-02 14:00:00,44.692566666666664,49.89818333333333,0.0,0.0
2016-01-02 15:00:00,39.616370833333335,45.34376666666666,0.0,0.0
2016-01-02 16:00:00,36.58545,42.38441666666667,0.0,0.0
2016-01-02 17:00:00,35.24796666666666,40.65371666666667,0.0,0.0
2016-01-02 18:00:00,36.472699999999996,44.972199999999994,0.0,0.0
2016-01-02 19:00:00,39.4898875,51.01383333333334,0.0,0.037412597166666665
2016-01-02 20:00:00,336.1072833333333,50.63816666666667,0.2897055333333333,0.9358533168333333
2016-01-02 21:00:00,686.92955,46.22135,0.6407082000000001,1.2699360109166666
2016-01-02 22:00:00,165.32588333333334,45.4997,0.11982618333333334,0.1646457525
2016-01-02 23:00:00,81.73711666666667,39.14468333333333,0.04259243333333334,0.03861000233333333
2016-01-03 00:00:00,48.374233333333336,28.838033333333332,0.0195362,0.0
2016-01-03 01:00:00,57.55693333333334,23.198683333333335,0.03435825,0.18302239499999998
2016-01-03 02:00:00,88.9628,17.435266666666667,0.07152753333333332,0.012757961583333333
2016-01-03 03:00:00,40.078966666666666,17.131466666666665,0.0229475,0.0
2016-01-03 04:00:00,25.281916666666664,13.514283333333333,0.011767633333333333,0.0
2016-01-03 05:00:00,19.980366666666665,12.738383333333333,0.007241983333333333,0.0
2016-01-03 06:00:00,19.09958333333333,34.621316666666665,0.0020441833333333334,0.0
2016-01-03 07:00:00,19.794816666666666,101.91805,0.0,0.03861000233333333
2016-01-03 08:00:00,25.20775,125.35083333333334,0.0,0.0
2016-01-03 09:00:00,37.32548333333333,68.22551666666666,0.0,0.0
2016-01-03 10:00:00,47.74986666666666,61.48533333333333,0.0,0.0
2016-01-03 11:00:00,55.43168333333333,61.543083333333335,0.0,0.0
2016-01-03 12:00:00,54.80486666666667,57.85986666666667,0.0,0.0
2016-01-03 13:00:00,52.42831666666667,53.08553333333333,0.0002738666666666667,0.0
2016-01-03 14:00:00,48.19303333333334,49.89818333333333,0.0002346666666666663,0.0
2016-01-03 15:00:00,44.63786666666667,45.34376666666666,0.00018671666666666848,0.009244694083333333
2016-01-03 16:00:00,44.5975,42.38441666666667,0.002234650000000001,0.09764841583333334
2016-01-03 17:00:00,116.77965,40.65371666666667,0.07612593333333333,0.27582498008333334
2016-01-03 18:00:00,224.83575,44.972199999999994,0.17986354999999998,0.54401067
2016-01-03 19:00:00,554.7635333333334,51.01383333333334,0.5037497000000001,1.0533253610833333
2016-01-03 20:00:00,520.6188833333333,50.63816666666667,0.4699807166666667,0.8834761481666668
2016-01-03 21:00:00,677.6054333333333,46.22135,0.6313840833333333,1.1205004479166667
