,U17,Baseflow,U17_without_baseflow,MOL5
U17,1.0,0.11310384958693241,0.9976628192272582,0.4379386508963222
Baseflow,0.11310384958693241,1.0,0.0514183447381482,0.03866331297097649
U17_without_baseflow,0.9976628192272582,0.0514183447381482,1.0,0.4387343254313937
MOL5,0.4379386508963222,0.03866331297097649,0.4387343254313937,1.0
