,C01,Baseflow,C01_without_baseflow,WOL4
C01,1.0,0.15207480762603942,0.9689866573877035,0.656824966420316
Baseflow,0.15207480762603942,1.0,-0.03230122911984601,-0.0059093652079634275
C01_without_baseflow,0.9689866573877035,-0.03230122911984601,1.0,0.6829496274923589
WOL4,0.656824966420316,-0.0059093652079634275,0.6829496274923589,1.0
