,U05,Baseflow,U05_without_baseflow,WOL5
U05,1.0,0.1114560442053581,0.9920644636486116,0.5677033057411534
Baseflow,0.1114560442053581,1.0,0.002067801020016386,0.005029299893070863
U05_without_baseflow,0.9920644636486116,0.002067801020016386,1.0,0.5738337975962035
WOL5,0.5677033057411534,0.005029299893070863,0.5738337975962035,1.0
