,U11,Baseflow,U11_without_baseflow,BNV4
U11,1.0,0.16633751749725995,0.8389598725248826,0.4885782790712147
Baseflow,0.16633751749725995,1.0,-0.08067011814691863,-0.02429950689226604
U11_without_baseflow,0.8389598725248826,-0.08067011814691863,1.0,0.5857412728788362
BNV4,0.4885782790712147,-0.02429950689226604,0.5857412728788362,1.0
