,U19,Baseflow,U19_without_baseflow,BNV8
U19,1.0,0.17283509888862802,0.9809331726433378,0.12720330368361923
Baseflow,0.17283509888862802,1.0,0.0337928901039728,0.002879925156836051
U19_without_baseflow,0.9809331726433378,0.0337928901039728,1.0,0.130339346659792
BNV8,0.12720330368361923,0.002879925156836051,0.130339346659792,1.0
