,C11,Baseflow,C11_without_baseflow,MAL1
C11,1.0,0.1272344645980149,0.9822361123025086,0.7497099399572059
Baseflow,0.1272344645980149,1.0,-0.00770647321812805,0.008108728873247352
C11_without_baseflow,0.9822361123025086,-0.00770647321812805,1.0,0.7662176808199678
MAL1,0.7497099399572059,0.008108728873247352,0.7662176808199678,1.0
